Time [min],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C]
52.435476,0.027270202,0.47578817,0.024991657,0.47960691,0.027271615,0.4757712,0.024995008,0.47959206,0.47791061,0.033900628,0.48088328,0.024446164,0.47789416,0.033904332,0.48086841,0.024449454,0.074375137,0.073288538,0.072701811,0.073842806,0.074375249,0.073289208,0.072702606,0.073843571,0.23116317,0.10565841,0.39269506,0.38675948,0.2311474,0.10563605,0.39268474,0.38674948,0.06588118,0.063698247,0.075554601,0.069972959,0.065881246,0.063697997,0.075556504,0.069972483,-0.0055823101,-0.0050384886,0.046148608,0.013090035,-0.0055789792,-0.0050352426,0.046150391,0.013092883
53.44385,0.028454745,0.48364817,0.026308406,0.48780639,0.028456178,0.48363104,0.026311758,0.4877914,0.48587349,0.035380442,0.48913592,0.025714982,0.48585692,0.035384132,0.48912092,0.025718331,0.076966948,0.075885403,0.075322215,0.076474737,0.076967114,0.075886119,0.075323057,0.076475557,0.22874147,0.10263989,0.39084358,0.38492185,0.22872589,0.10261826,0.39083336,0.3849119,0.067544125,0.065252192,0.07730814,0.071386678,0.067544245,0.065251998,0.077310007,0.071386186,-0.0050391456,-0.0045151503,0.047215171,0.013534336,-0.0050357466,-0.0045118393,0.04721695,0.013537198
54.452225,0.029539732,0.49103703,0.027552196,0.49552464,0.02954119,0.49101978,0.027555554,0.49550952,0.493364,0.036755813,0.49690116,0.026918581,0.49334733,0.036759493,0.49688603,0.026921991,0.079226515,0.078158836,0.077625219,0.078786874,0.079226746,0.078159608,0.077626116,0.078787758,0.22649248,0.09984833,0.38911892,0.38322691,0.22647707,0.099827376,0.38910881,0.38321701,0.068925191,0.066535468,0.078776344,0.072522421,0.068925369,0.066535335,0.078778183,0.072521922,-0.0044872716,-0.0039837072,0.048277523,0.01397875,-0.0044838089,-0.0039803355,0.048279297,0.013981626
55.460599,0.030519212,0.49794281,0.028717724,0.50274847,0.030520689,0.49792543,0.028721092,0.50273324,0.50036941,0.038021923,0.50416601,0.028052953,0.50035262,0.038025602,0.50415077,0.028056383,0.081130153,0.080086739,0.079587735,0.080757143,0.081130457,0.080087576,0.07958869,0.080758111,0.22441704,0.097286285,0.38753113,0.38167795,0.22440176,0.097265958,0.38752116,0.3816681,0.070013839,0.067540167,0.079951105,0.073373547,0.070014081,0.0675401,0.079952926,0.073373048,-0.0039274293,-0.0034449302,0.04933577,0.014423556,-0.0039239074,-0.0034415024,0.049337541,0.014426448
56.468974,0.031388925,0.50435528,0.029800582,0.50946657,0.031390444,0.5043378,0.029803965,0.50945124,0.50687799,0.039174834,0.51091911,0.029115163,0.50686112,0.039178516,0.51090377,0.029118657,0.082658594,0.081651266,0.08119094,0.082367361,0.082658981,0.081652179,0.081191965,0.082368412,0.22251341,0.094947157,0.38609305,0.38027247,0.22249825,0.09492741,0.38608318,0.38026266,0.070799598,0.068257096,0.08082359,0.073933212,0.07079991,0.068257099,0.080825402,0.073932723,-0.0033603677,-0.0028995917,0.050389934,0.014869002,-0.0033567911,-0.0028961122,0.050391702,0.014871908
57.477348,0.032146901,0.51026605,0.030797542,0.51566932,0.032148466,0.51024849,0.030800944,0.51565391,0.51288216,0.040211312,0.51715202,0.030106546,0.51286521,0.040215003,0.51713661,0.030110107,0.083797625,0.082839101,0.082421324,0.083602884,0.083798104,0.082840099,0.082422428,0.083604026,0.22077703,0.092812691,0.38480304,0.37900572,0.22076195,0.092793484,0.38479327,0.37899595,0.071275163,0.068678738,0.08138752,0.074196951,0.071275548,0.068678815,0.081389332,0.07419648,-0.0027868478,-0.0023484617,0.051439969,0.015315286,-0.0027832214,-0.0023449353,0.051441733,0.015318206
58.485723,0.032791679,0.51566877,0.031706738,0.52134934,0.032793294,0.51565114,0.031710163,0.52133386,0.51837577,0.041129559,0.5228582,0.03102611,0.51835877,0.041133263,0.52284272,0.031029742,0.084537299,0.083640628,0.083268872,0.084453511,0.084537879,0.083641721,0.083270064,0.084454752,0.21920543,0.090877077,0.38366238,0.37787914,0.21919042,0.090858372,0.3836527,0.3778694,0.071440287,0.068804151,0.081643637,0.074166203,0.071440751,0.068804306,0.081645456,0.074165757,-0.0022076482,-0.0017923305,0.052485754,0.015762575,-0.0022039767,-0.001788762,0.052487515,0.015765511
59.494097,0.03332284,0.5205587,0.032527754,0.52650094,0.03332451,0.52054102,0.032531219,0.52648541,0.52335422,0.041928649,0.52803285,0.03187335,0.52333718,0.041932368,0.52801732,0.031877056,0.084870996,0.08404964,0.083726664,0.084911633,0.084871687,0.084050844,0.083727953,0.084912972,0.21780047,0.089130123,0.38266402,0.37689455,0.21778548,0.089111885,0.38265438,0.37688485,0.071298187,0.068635834,0.08159608,0.073845123,0.071298731,0.068636069,0.081597914,0.073844709,-0.0016235582,-0.0012319973,0.053527113,0.016211007,-0.0016198466,-0.0012283914,0.053528871,0.016213958
60.502472,0.033739926,0.52493409,0.033262843,0.53112184,0.033741642,0.52491637,0.033266373,0.53110628,0.52781449,0.042608381,0.53267409,0.032646507,0.5277974,0.042612122,0.53265853,0.032650261,0.084797076,0.084065462,0.083792445,0.084973423,0.084797885,0.084066791,0.083793839,0.084974865,0.21656687,0.087549554,0.38178772,0.37604964,0.21655189,0.087531756,0.38177811,0.37603998,0.070852522,0.068177085,0.081249463,0.073237466,0.07085315,0.068177404,0.081251319,0.073237092,-0.0010353691,-0.00066825768,0.054563854,0.01666067,-0.0010316223,-0.00066461931,0.054565609,0.016663635
61.510846,0.034043125,0.52879772,0.033914866,0.53521555,0.034044887,0.52877996,0.033918466,0.53519996,0.53175721,0.043170441,0.53678411,0.033342905,0.53174008,0.043174206,0.53676853,0.033346705,0.084323011,0.083694718,0.083472067,0.084644853,0.084323946,0.083696179,0.083473572,0.084646404,0.21548712,0.086123028,0.38103458,0.37532947,0.21547212,0.086105646,0.38102501,0.37531985,0.07011073,0.067434859,0.080611249,0.072348713,0.070111445,0.067435263,0.080613134,0.072348385,-0.00044386918,-0.00010187886,0.055595795,0.017111624,-0.00044009191,-9.8212712e-05,0.055597549,0.017114605
